iter	Passed	Remaining
0	0	712
1	1	652
2	1	633
3	2	626
4	3	615
5	3	609
6	4	607
7	4	605
8	5	601
9	6	597
10	6	598
11	7	598
12	7	595
13	8	593
14	9	591
15	9	589
16	10	590
17	10	593
18	11	595
19	12	595
20	12	601
21	13	604
22	14	603
23	14	602
24	15	604
25	16	605
26	16	605
27	17	604
28	18	603
29	18	601
30	19	600
31	19	600
32	20	600
33	21	599
34	21	598
35	22	598
36	23	603
37	23	604
38	24	605
39	25	604
40	25	604
41	26	604
42	27	605
43	27	605
44	28	606
45	29	605
46	29	604
47	30	605
48	31	604
49	31	603
50	32	602
51	33	602
52	33	601
53	34	600
54	34	600
55	35	600
56	36	599
57	36	597
58	37	598
59	38	597
60	38	596
61	39	597
62	40	596
63	40	595
64	41	593
65	41	592
66	42	591
67	42	586
68	43	585
69	44	584
70	44	583
71	45	582
72	45	581
73	46	580
74	47	580
75	47	580
76	48	579
77	48	578
78	49	577
79	50	575
80	50	574
81	51	574
82	51	573
83	52	574
84	53	571
85	53	570
86	54	568
87	54	567
88	55	566
89	56	566
90	56	566
91	57	565
92	57	564
93	58	564
94	59	563
95	59	562
96	60	561
97	60	560
98	61	559
99	61	557
100	62	558
101	63	555
102	63	554
103	64	554
104	65	554
105	65	553
106	66	554
107	67	553
108	67	553
109	68	553
110	69	552
111	69	551
112	70	550
113	70	549
114	71	548
115	71	547
116	72	546
117	72	545
118	73	543
119	74	543
120	74	542
121	75	541
122	75	538
123	76	538
124	76	537
125	77	537
126	78	536
127	78	534
128	79	533
129	79	533
130	80	533
131	81	533
132	81	532
133	82	532
134	82	531
135	83	530
136	84	530
137	84	529
138	85	528
139	85	528
140	86	527
141	87	526
142	87	526
143	88	525
144	89	524
145	89	523
146	90	523
147	90	523
148	91	522
149	92	522
150	92	521
151	93	521
152	94	520
153	94	520
154	95	519
155	95	518
156	96	517
157	97	517
158	97	516
159	98	515
160	98	514
161	99	513
162	99	512
163	100	511
164	100	510
165	101	509
166	101	508
167	102	507
168	103	506
169	103	505
170	104	504
171	104	504
172	105	503
173	105	502
174	106	501
175	106	500
176	107	499
177	108	498
178	108	498
179	109	497
180	109	495
181	110	494
182	110	493
183	111	492
184	111	491
185	112	491
186	112	490
187	113	489
188	113	488
189	114	487
190	114	486
191	115	485
192	115	484
193	116	483
194	117	483
195	117	482
196	118	481
197	118	480
198	119	480
199	119	479
200	120	478
201	120	477
202	121	476
203	122	476
204	122	475
205	123	474
206	123	474
207	124	473
208	125	473
209	125	472
210	126	471
211	126	470
212	127	470
213	127	469
214	128	468
215	128	467
216	129	467
217	129	466
218	130	465
219	131	464
220	131	463
221	132	462
222	132	462
223	133	461
224	133	460
225	134	459
226	134	459
227	135	458
228	136	458
229	136	457
230	137	456
231	137	455
232	138	455
233	138	454
234	139	453
235	139	452
236	140	452
237	140	451
238	141	450
239	142	449
240	142	449
241	143	448
242	143	447
243	144	446
244	144	446
245	145	445
246	146	445
247	146	444
248	147	443
249	147	442
250	148	442
251	148	441
252	149	440
253	149	440
254	150	439
255	151	439
256	151	438
257	152	437
258	152	436
259	153	436
260	153	435
261	154	434
262	155	434
263	155	433
264	156	432
265	156	432
266	157	431
267	157	430
268	158	430
269	158	429
270	159	428
271	159	427
272	160	427
273	160	426
274	161	425
275	162	425
276	162	424
277	163	424
278	163	423
279	164	422
280	165	422
281	165	421
282	166	420
283	166	420
284	167	419
285	167	418
286	168	418
287	168	417
288	169	416
289	169	416
290	170	415
291	171	414
292	171	413
293	172	413
294	172	412
295	173	411
296	173	411
297	174	410
298	174	410
299	175	409
300	175	408
301	176	407
302	177	407
303	177	406
304	178	406
305	178	405
306	179	404
307	179	404
308	180	403
309	180	402
310	181	402
311	182	401
312	182	400
313	183	400
314	183	399
315	184	398
316	184	398
317	185	397
318	185	396
319	186	396
320	186	395
321	187	394
322	188	394
323	188	393
324	189	392
325	189	392
326	190	391
327	190	390
328	191	390
329	192	389
330	192	389
331	193	388
332	193	388
333	194	387
334	194	386
335	195	386
336	196	385
337	196	384
338	197	384
339	197	383
340	198	383
341	198	382
342	199	381
343	199	381
344	200	380
345	201	380
346	201	379
347	202	378
348	202	378
349	203	377
350	203	376
351	204	376
352	204	375
353	205	374
354	206	374
355	206	373
356	207	373
357	207	372
358	208	372
359	208	371
360	209	370
361	210	370
362	210	369
363	211	368
364	211	368
365	212	367
366	212	367
367	213	366
368	213	365
369	214	365
370	215	364
371	215	363
372	216	363
373	216	362
374	217	361
375	217	361
376	218	360
377	218	360
378	219	359
379	220	359
380	220	358
381	221	357
382	221	357
383	222	356
384	222	355
385	223	355
386	223	354
387	224	354
388	225	353
389	225	352
390	226	352
391	226	351
392	227	351
393	227	350
394	228	349
395	228	349
396	229	348
397	230	347
398	230	347
399	231	346
400	231	346
401	232	345
402	232	344
403	233	344
404	233	343
405	234	343
406	235	342
407	235	341
408	236	341
409	236	340
410	237	340
411	237	339
412	238	338
413	238	338
414	239	337
415	240	337
416	240	336
417	241	335
418	241	335
419	242	334
420	242	333
421	243	333
422	243	332
423	244	332
424	244	331
425	245	330
426	246	330
427	246	329
428	247	328
429	247	328
430	248	327
431	248	327
432	249	326
433	249	325
434	250	325
435	250	324
436	251	324
437	252	323
438	252	322
439	253	322
440	253	321
441	254	321
442	254	320
443	255	319
444	255	319
445	256	318
446	257	318
447	257	317
